   15112,    15443,    26493,     1258,     6050,     7788
   15541,    16357,    26289,      686,     6290,     8731
   16620,    17036,    26655,     1536,     6497,     8661
   16983,    18245,    26573,     1470,     6044,     7598
   17747,    18995,    26439,      699,     6497,     8925
   18416,    19855,    26268,     1649,     6439,     9023
   18776,    20511,    26290,     1586,     6046,     7762
   19392,    21086,    26510,      760,     6351,     9356
   19889,    21750,    26418,     1656,     6256,     9464
   20097,    22185,    26336,     1672,     5936,     7955
   20667,    22632,    26238,      807,     6319,     9674
   21203,    22922,    25939,     1725,     6321,    10103
   21521,    23148,    26170,     1662,     5883,     8175
   21544,    23674,    26226,      960,     6214,     9486
   22327,    24064,    26142,     1808,     6298,    10545
   22458,    24288,    26137,     1864,     5835,     8104
   22627,    24737,    26244,     1012,     6214,     9656
   22489,    24747,    26477,     1861,     6287,    10376
   22682,    25071,    26609,     1953,     6068,     8042
   22557,    25053,    26511,     1072,     6320,     9754
   22256,    25038,    26595,     1890,     6226,    10228
   22118,    25412,    26217,     2103,     6000,     8101
   21769,    25776,    25678,     1294,     6240,     9747
   21541,    25772,    25304,     2017,     6192,    10124
   21427,    26737,    24401,     2172,     5798,     8145
   21285,    27180,    23606,     1448,     6182,     9619
   21269,    27283,    23052,     2113,     6149,     9748
   21038,    27624,    22498,     2055,     5810,     8145
   20950,    26982,    21738,     1605,     6232,     9621
   20906,    26598,    21317,     2225,     6034,    10058
   20722,    26158,    20547,     2050,     5617,     8367
   20560,    24835,    19982,     1675,     6256,     9551
   20381,    24171,    19337,     2309,     5896,    10300
   20369,    23501,    18874,     2044,     5858,     8478
   20230,    22937,    18705,     1837,     6139,     9572
   20036,    22620,    18399,     2422,     5909,    10827
   19920,    22243,    18004,     2059,     5546,     8374
   19494,    21923,    17641,     1972,     6101,    10053
   19133,    21226,    17524,     2405,     5887,    11445
   18953,    21148,    16917,     2200,     5477,     8720
   18530,    20781,    17052,     2136,     6131,    10431
   18192,    20299,    16678,     2327,     5710,    11463
   17795,    20272,    16775,     2352,     5359,     8806
   17371,    20114,    16502,     2260,     5923,    11034
   17233,    19642,    16431,     2563,     5906,    12039
   17154,    19943,    16302,     2416,     5248,     8979
   17026,    19794,    16319,     2415,     5930,    11510
   16758,    19206,    16076,     2701,     5786,    12302
   16684,    19031,    15853,     2609,     5276,     9165
   16556,    18947,    15719,     2593,     5777,    12069
   16706,    18665,    15396,     2778,     5671,    12904
   16224,    18254,    15307,     2616,     5138,     9311
   16064,    18242,    14991,     2624,     5966,    12800
   15900,    17997,    14727,     2804,     5708,    13656
   15712,    17776,    14549,     2715,     5125,     9415
   15488,    17553,    14272,     2753,     5801,    13405
   15447,    17691,    14003,     2918,     5708,    14104
   15183,    17487,    13844,     2946,     5084,     9860
   15069,    17521,    13651,     2918,     5658,    13785
   14943,    17246,    13622,     3089,     5649,    14375
   14670,    16922,    13334,     2979,     4839,     9838
   14311,    16700,    13240,     3248,     5718,    14354
   14288,    16563,    13177,     3197,     5634,    14708
   14034,    16185,    12868,     3350,     4820,     9970
   14153,    16089,    12899,     3468,     5678,    14880
   13989,    15992,    12938,     3454,     5554,    14508
   13929,    15708,    12972,     3458,     4812,     9966
   13876,    15507,    12778,     3759,     5616,    14821
   13997,    15272,    12708,     3767,     5529,    14281
   14332,    15104,    12771,     3805,     4810,     9930
   14062,    15105,    12892,     4039,     5690,    14900
   14233,    14947,    12819,     3958,     5382,    13894
   14469,    14867,    12976,     4059,     4616,    10008
   14281,    14722,    12993,     4446,     5710,    15393
   14349,    14888,    13054,     4375,     5486,    13695
   14273,    14735,    12811,     4524,     4557,     9896
   14081,    14577,    12758,     4785,     5632,    15941
   13992,    14881,    12810,     4723,     5450,    14025
   14011,    14781,    13007,     5225,     4566,    10132
   14069,    14608,    13023,     5198,     5617,    15898
   13909,    15052,    13109,     5095,     5479,    13786
   13737,    14785,    13095,     5517,     4627,    10203
   13742,    14948,    13137,     5499,     5641,    16446
   13685,    14676,    13057,     5438,     5578,    13894
   13618,    15049,    13231,     5987,     4599,    10133
   13443,    15087,    13506,     5928,     5737,    16944
   13728,    14807,    13449,     5846,     5534,    13770
   13655,    14653,    13632,     6384,     4766,    10021
   13800,    14469,    13726,     6410,     5775,    16893
   13705,    14331,    13910,     6171,     5489,    13636
   13611,    13918,    14085,     6733,     4807,     9637
   13588,    13786,    14378,     6783,     5718,    17348
   13677,    13956,    14507,     6611,     5516,    13001
   13652,    13796,    14489,     7091,     4829,     9409
   13677,    13803,    14740,     7058,     5795,    17203
   13422,    13779,    14941,     6928,     5456,    11895
   13619,    13637,    14998,     7633,     4686,     9187
   13911,    13545,    14879,     7366,     5727,    16736
   13978,    13537,    14896,     7219,     5463,    10602
   14108,    13427,    14870,     7815,     4654,     8367
   14424,    13283,    14811,     7586,     5617,    16068
   14486,    13406,    14790,     7505,     5355,     9764
   14604,    13453,    14625,     8183,     4661,     7879
   14699,    13666,    14657,     7907,     5384,    15299
   14896,    13553,    14785,     7759,     5379,     9275
   14771,    13575,    14855,     8504,     4256,     7070
   14971,    13681,    14831,     8410,     5407,    13724
   14896,    14221,    14866,     8118,     5321,     8514
   15005,    14400,    15142,     8744,     4249,     6607
   15155,    14518,    15218,     8474,     5258,    12077
   15339,    14580,    15525,     8496,     5305,     8084
   15285,    14668,    15471,     9116,     4247,     5678
   15267,    15081,    15600,     8988,     5193,    10416
   15253,    15237,    15666,     8546,     5223,     7262
   15351,    15523,    15629,     9359,     4266,     4740
   15318,    15653,    15892,     9131,     5328,     9039
   15419,    15766,    16145,     8913,     5303,     5348
   15865,    16119,    16181,     9738,     4038,     3848
   16433,    16154,    16385,     9285,     5299,     7418
   16952,    16688,    16624,     9144,     5231,     4022
   17227,    16683,    16752,    10037,     4073,     3189
   17345,    16919,    17167,     9672,     5283,     5804
   17926,    17194,    17244,     9433,     5323,     2627
   18166,    16918,    17542,    10036,     4072,     2425
   18803,    17407,    17747,     9786,     5254,     3724
   19112,    17502,    17809,     9908,     5139,     1635
   19695,    17750,    17773,    10639,     4094,     1835
   20165,    18076,    18170,    10204,     5338,     2197
   20272,    18692,    18452,    10128,     5162,     1017
   20667,    18895,    18763,    10867,     4045,     1278
   21124,    19159,    19282,    10391,     5087,     1298
   21796,    19489,    19329,    10440,     5055,      613
   22644,    19698,    19818,    11421,     4035,      881
   23211,    20116,    19910,    10649,     5142,      957
   23473,    20270,    20559,    10598,     5088,      423
   23664,    20518,    20804,    11673,     3919,      692
   23257,    20846,    21075,    10578,     5098,      792
   22683,    21082,    21504,    10830,     5079,      315
   22583,    21469,    22029,    11702,     3958,      524
   22339,    21675,    22012,    10642,     5042,      632
   22547,    21978,    22733,    10833,     5150,      274
   22943,    22746,    23315,    11660,     4104,      420
   23298,    23357,    23810,    10647,     5184,      448
   23776,    24305,    24534,    10815,     5192,      272
   24412,    24469,    25847,    11511,     4115,      335
   25046,    24631,    26609,    10462,     5144,      361
   26137,    24487,    27077,    10719,     5208,      226
   27129,    23954,    27825,    11007,     4065,      256
   27900,    23797,    28545,    10329,     5079,      265
   28933,    23793,    28602,    10684,     5203,      206
   29041,    24245,    28593,    10788,     4079,      197
   29549,    24784,    28707,    10023,     5167,      228
   29545,    25694,    29080,    10650,     5306,      164
   29603,    26330,    28496,    10591,     4236,      189
   30127,    27368,    28183,     9757,     5290,      173
   30424,    28326,    27619,    10207,     5322,      148
   31072,    29511,    26929,    10540,     4341,      149
   31751,    30634,    26672,     9585,     5401,      184
   32577,    32041,    25633,    10165,     5315,      123
   32878,    32810,    25460,    10154,     4437,      141
