   24898,    27123,    35215,     1672,     6380,     8866
   25814,    27991,    34862,      807,     6876,    10492
   26605,    28631,    34477,     1726,     6872,    10925
   27067,    29249,    34860,     1663,     6380,     9120
   27303,    30206,    34708,      962,     6799,    10265
   28453,    30713,    34419,     1809,     6875,    11501
   28596,    30915,    34764,     1865,     6275,     9061
   28875,    31893,    34535,     1014,     6733,    10522
   28986,    31783,    34812,     1862,     6827,    11321
   29161,    32598,    35122,     1957,     6497,     9028
   29343,    32601,    34738,     1077,     6865,    10604
   28899,    32761,    34680,     1891,     6775,    11181
   28835,    33526,    34085,     2111,     6458,     9026
   28539,    34061,    33260,     1299,     6818,    10667
   28311,    34180,    32583,     2018,     6729,    11079
   28177,    35524,    31405,     2175,     6191,     9167
   27904,    36265,    30449,     1453,     6692,    10488
   28041,    36338,    29390,     2122,     6648,    10737
   27634,    36687,    28611,     2063,     6232,     9145
   27330,    35829,    27762,     1614,     6778,    10539
   27252,    35282,    27011,     2236,     6552,    11144
   26914,    34542,    26135,     2056,     6020,     9325
   26780,    33065,    25188,     1685,     6776,    10493
   26523,    32041,    24384,     2318,     6410,    11371
   26138,    31272,    23740,     2058,     6299,     9531
   25837,    30227,    23420,     1852,     6667,    10553
   25621,    29640,    23030,     2437,     6391,    12015
   25477,    29018,    22621,     2076,     5929,     9428
   24958,    28552,    22257,     1996,     6596,    10980
   24448,    27681,    21958,     2418,     6374,    12674
   24134,    27476,    21217,     2214,     5819,     9803
   23481,    26827,    21258,     2156,     6620,    11543
   23246,    25991,    20764,     2353,     6233,    12714
   22608,    26048,    20820,     2379,     5679,     9944
   21926,    25893,    20531,     2285,     6388,    12143
   21647,    25202,    20341,     2605,     6373,    13344
   21491,    25324,    20171,     2452,     5574,    10121
   21450,    25004,    20329,     2441,     6404,    12741
   21014,    24167,    19925,     2726,     6243,    13648
   20888,    23925,    19528,     2636,     5585,    10273
   20632,    23928,    19532,     2623,     6223,    13373
   20749,    23530,    19041,     2811,     6152,    14192
   20098,    23067,    18954,     2639,     5464,    10494
   19890,    23239,    18446,     2666,     6416,    14215
   19646,    22751,    18174,     2852,     6169,    14985
   19483,    22240,    17988,     2761,     5470,    10646
   18888,    22000,    17473,     2791,     6255,    14922
   18882,    22222,    17200,     2981,     6114,    15481
   18513,    21931,    16999,     2997,     5377,    11169
   18372,    21861,    16549,     2982,     6120,    15405
   18242,    21384,    16578,     3151,     6093,    15684
   17848,    21053,    16226,     3047,     5158,    11063
   17477,    20660,    16046,     3313,     6199,    16012
   17313,    20369,    16048,     3268,     6081,    16115
   17077,    20006,    15502,     3436,     5135,    11249
   17109,    19737,    15587,     3572,     6097,    16654
   16846,    19625,    15655,     3551,     5960,    15796
   16714,    19241,    15589,     3543,     5116,    11301
   16580,    18941,    15404,     3870,     6065,    16744
   16755,    18601,    15184,     3884,     5956,    15512
   17113,    18430,    15350,     3925,     5108,    11229
   16798,    18383,    15502,     4158,     6126,    16864
   17036,    18164,    15473,     4070,     5817,    15084
   17235,    18051,    15444,     4186,     4901,    11318
   17032,    17880,    15597,     4589,     6157,    17361
   17028,    18036,    15578,     4533,     5909,    14786
   17068,    17885,    15437,     4687,     4869,    11198
   16514,    17592,    15384,     4964,     6010,    18065
   16447,    18038,    15401,     4896,     5903,    15132
   16528,    17942,    15629,     5422,     4866,    11442
   16434,    17845,    15723,     5417,     6064,    18009
   16137,    18388,    15832,     5309,     5935,    14848
   16078,    18112,    15902,     5736,     4910,    11486
   16036,    18164,    15830,     5731,     6088,    18553
   16016,    17843,    15841,     5683,     6035,    14950
   15877,    18294,    16007,     6245,     4940,    11349
   15744,    18326,    16266,     6205,     6217,    19173
   16072,    17955,    16403,     6135,     5965,    14909
   15822,    17752,    16606,     6693,     5068,    11158
   16024,    17476,    16834,     6742,     6226,    19097
   15877,    17460,    17017,     6495,     5912,    14572
   15890,    16809,    17268,     7082,     5125,    10697
   15794,    16747,    17743,     7220,     6217,    19642
   15863,    16912,    17839,     6992,     5932,    13868
   15811,    16722,    17851,     7535,     5159,    10381
   15960,    16689,    18232,     7537,     6263,    19043
   15566,    16732,    18455,     7383,     5880,    12631
   15876,    16533,    18503,     8135,     5006,    10057
   16140,    16480,    18251,     7876,     6165,    18550
   16288,    16391,    18391,     7720,     5880,    11274
   16452,    16447,    18374,     8349,     4950,     9152
   16869,    16057,    18252,     8230,     6048,    17598
   16889,    16339,    18271,     8063,     5760,    10275
   17079,    16470,    18116,     8807,     4987,     8491
   17083,    16630,    18047,     8518,     5840,    16657
   17331,    16577,    18209,     8383,     5781,     9688
   17290,    16532,    18337,     9199,     4510,     7574
   17432,    16786,    18338,     9138,     5818,    14857
   17424,    17319,    18542,     8790,     5735,     8920
   17571,    17478,    18859,     9538,     4486,     7002
   17627,    17681,    18970,     9232,     5693,    12952
   17883,    17907,    19371,     9232,     5705,     8382
   17733,    17976,    19206,     9966,     4518,     6033
   17908,    18448,    19316,     9844,     5609,    11088
   17863,    18564,    19438,     9379,     5655,     7525
   17913,    18973,    19361,    10321,     4549,     4953
   17913,    19066,    19886,    10078,     5713,     9490
   18036,    19216,    20148,     9829,     5716,     5513
   18503,    19716,    20175,    10783,     4278,     3985
   19231,    19730,    20739,    10307,     5723,     7693
   19721,    20374,    20908,    10185,     5662,     4116
   20083,    20273,    21001,    11141,     4302,     3277
   20255,    20771,    21353,    10856,     5678,     6032
   21030,    21030,    21562,    10454,     5760,     2682
   21260,    20762,    21964,    11221,     4309,     2469
   22065,    21264,    22141,    11009,     5661,     3818
   22494,    21307,    22370,    10967,     5541,     1648
   23099,    21678,    22138,    11960,     4363,     1872
   23729,    22002,    22890,    11405,     5757,     2245
   23860,    22812,    23230,    11325,     5544,     1025
   24218,    23019,    23480,    12195,     4309,     1292
   25070,    23311,    24073,    11756,     5479,     1316
